condition,seed,attention_transform,supervised_heads,lambda_attn,top_k,macro_f1,accuracy,per_class_f1,best_val_f1,test_loss
softmax_all,123,softmax,all,1.0,24,0.6720745505608053,0.6782744282744283,"[0.7598393574297189, 0.5367132867132867, 0.7196710075394106]",0.6911540160280044,0.8087101422311845
softmax_all,42,softmax,all,1.0,24,0.6680341909948453,0.6772349272349273,"[0.750207468879668, 0.5235507246376812, 0.7303443794671864]",0.6698934741203323,1.0040564529659335
softmax_all,456,softmax,all,1.0,24,0.6686429144159906,0.6938669438669439,"[0.7656123276561233, 0.4827586206896552, 0.7575577949021932]",0.6828588104744923,0.7900516212232842
softmax_all_strong,123,softmax,all,2.0,24,0.663171446876491,0.6694386694386695,"[0.7458693941778127, 0.5327510917030568, 0.7108938547486033]",0.6874860170621698,0.798043883782773
softmax_all_strong,42,softmax,all,2.0,24,0.6706443420272133,0.6777546777546778,"[0.756578947368421, 0.5305039787798409, 0.7248500999333778]",0.668827785944819,0.9242227992489318
softmax_all_strong,456,softmax,all,2.0,24,0.6659384018077449,0.6886694386694386,"[0.7601593625498008, 0.4818276220145379, 0.7558282208588957]",0.6693768596437066,0.7740368835689607
softmax_top24,123,softmax,topk,1.0,24,0.6723381282615722,0.6782744282744283,"[0.7485943775100402, 0.5434027777777778, 0.7250172294968987]",0.6858663945704113,0.776453238380842
softmax_top24,42,softmax,topk,1.0,24,0.6678458737123831,0.6746361746361746,"[0.759592795614722, 0.5307557117750439, 0.7131891137473831]",0.6694913490785783,0.8060077950974142
softmax_top24,456,softmax,topk,1.0,24,0.6665810365931604,0.6876299376299376,"[0.752411575562701, 0.4918032786885246, 0.7555282555282555]",0.6808194987426756,0.7752150220196109
sparsemax_all,123,sparsemax,all,1.0,24,0.6748240113274923,0.6845114345114345,"[0.7505900865460268, 0.5345454545454545, 0.7393364928909952]",0.6847555428587637,0.8198889450839728
sparsemax_all,42,sparsemax,all,1.0,24,0.6722079701413004,0.6798336798336798,"[0.7567567567567568, 0.5348837209302325, 0.7249834327369119]",0.673332168279952,1.0091262965901824
sparsemax_all,456,sparsemax,all,1.0,24,0.6733933992003767,0.6964656964656964,"[0.7620578778135049, 0.4978813559322034, 0.7602409638554217]",0.6864360664558052,0.8133509134458117
sparsemax_top12,123,sparsemax,topk,1.0,12,0.674773942999161,0.6824324324324325,"[0.7457627118644068, 0.54207263064659, 0.7364864864864865]",0.6895424161801187,0.7748110367000596
sparsemax_top12,42,sparsemax,topk,1.0,12,0.6559915748417325,0.6668399168399168,"[0.7569279493269992, 0.4972375690607735, 0.7138092061374249]",0.6782876767154127,0.8182000754293332
sparsemax_top12,456,sparsemax,topk,1.0,12,0.6648964727870315,0.6938669438669439,"[0.7595541401273885, 0.46864686468646866, 0.7664884135472371]",0.6840853247199995,0.8104191930456595
sparsemax_top24_lam01,123,sparsemax,topk,0.1,24,0.6714100216387044,0.6782744282744283,"[0.7485760781122864, 0.5382585751978892, 0.7273954116059379]",0.6870833431815067,0.7627375864785565
sparsemax_top24_lam01,42,sparsemax,topk,0.1,24,0.6659108391282236,0.6741164241164241,"[0.7537138389366693, 0.5268817204301075, 0.717136958017894]",0.6722764090098895,0.8097844285782704
sparsemax_top24_lam01,456,sparsemax,topk,0.1,24,0.6652313345356373,0.6897089397089398,"[0.7507836990595611, 0.4851063829787234, 0.7598039215686274]",0.6838717058238425,0.7935544874303597
sparsemax_top24_lam05,123,sparsemax,topk,0.5,24,0.676980675533605,0.6855509355509356,"[0.7470261697065821, 0.5469314079422383, 0.7369844489519946]",0.6898097371184476,0.7754700685089285
sparsemax_top24_lam05,42,sparsemax,topk,0.5,24,0.6580364554059637,0.6683991683991684,"[0.7547169811320755, 0.5018248175182481, 0.7175675675675676]",0.6685993383186571,0.8258766120622966
sparsemax_top24_lam05,456,sparsemax,topk,0.5,24,0.6613182746115819,0.6891891891891891,"[0.7575993764614185, 0.4657236126224157, 0.7606318347509113]",0.6836660365669417,0.815743305774267
sparsemax_top24_lam10,123,sparsemax,topk,1.0,24,0.6823832033634639,0.6897089397089398,"[0.7529785544082606, 0.5554569653948536, 0.7387140902872777]",0.6835321414126846,0.7872060543495761
sparsemax_top24_lam10,42,sparsemax,topk,1.0,24,0.6579590176754011,0.6678794178794178,"[0.7572209211553473, 0.5036363636363637, 0.7130197682344922]",0.6704357100623902,0.8320759640744895
sparsemax_top24_lam10,456,sparsemax,topk,1.0,24,0.6735840318155505,0.696985446985447,"[0.7647058823529411, 0.4926315789473684, 0.7634146341463415]",0.6920187205243629,0.7972548328155329
sparsemax_top24_lam20,123,sparsemax,topk,2.0,24,0.6787109427431567,0.6865904365904366,"[0.7504, 0.5467497773820125, 0.7389830508474576]",0.6950180818813366,0.7968937238632154
sparsemax_top24_lam20,42,sparsemax,topk,2.0,24,0.6708439515581244,0.6787941787941788,"[0.7640625, 0.5336927223719676, 0.7147766323024055]",0.6703769139888881,0.815663137342319
sparsemax_top24_lam20,456,sparsemax,topk,2.0,24,0.6666363635862358,0.6897089397089398,"[0.7473426001635323, 0.4916317991631799, 0.7609346914319952]",0.6871946919955895,0.8060162099432354
sparsemax_top24,123,sparsemax,topk,1.0,24,0.6823832033634639,0.6897089397089398,"[0.7529785544082606, 0.5554569653948536, 0.7387140902872777]",0.6835321414126846,0.7872060543495761
sparsemax_top24,42,sparsemax,topk,1.0,24,0.6579590176754011,0.6678794178794178,"[0.7572209211553473, 0.5036363636363637, 0.7130197682344922]",0.6704357100623902,0.8320759640744895
sparsemax_top24,456,sparsemax,topk,1.0,24,0.6735840318155505,0.696985446985447,"[0.7647058823529411, 0.4926315789473684, 0.7634146341463415]",0.6920187205243629,0.7972548328155329
sparsemax_top24_strong,123,sparsemax,topk,2.0,24,0.6787109427431567,0.6865904365904366,"[0.7504, 0.5467497773820125, 0.7389830508474576]",0.6950180818813366,0.7968937238632154
sparsemax_top24_strong,42,sparsemax,topk,2.0,24,0.6708439515581244,0.6787941787941788,"[0.7640625, 0.5336927223719676, 0.7147766323024055]",0.6703769139888881,0.815663137342319
sparsemax_top24_strong,456,sparsemax,topk,2.0,24,0.6666363635862358,0.6897089397089398,"[0.7473426001635323, 0.4916317991631799, 0.7609346914319952]",0.6871946919955895,0.8060162099432354
sparsemax_top36,123,sparsemax,topk,1.0,36,0.6765574647886027,0.685031185031185,"[0.7505938242280285, 0.5431654676258992, 0.7359131025118805]",0.693014066710902,0.7926283260761213
sparsemax_top36,42,sparsemax,topk,1.0,36,0.6681948785943653,0.6761954261954262,"[0.757527733755943, 0.5282005371530887, 0.718856364874064]",0.6712321412390768,0.8277839716554674
sparsemax_top36,456,sparsemax,topk,1.0,36,0.6699656083697313,0.6943866943866944,"[0.7599364069952306, 0.4898395721925134, 0.7601208459214501]",0.6868415933904887,0.7992775631098707
vanilla,123,softmax,all,0.0,24,0.6805714233547654,0.6954261954261954,"[0.768595041322314, 0.5281899109792285, 0.7449293177627535]",0.6867372281279485,0.7020727031487078
vanilla,42,softmax,all,0.0,24,0.6731160845905491,0.6813929313929314,"[0.7569279493269992, 0.5345291479820627, 0.7278911564625851]",0.6774793432910169,0.7960075583339723
vanilla,456,softmax,all,0.0,24,0.6622331626457211,0.6871101871101871,"[0.7534883720930232, 0.4781216648879402, 0.7550894509561998]",0.6736329652345479,0.7924614267900956
